ht,8400319,'s-Hertogenbosch,'s-Hertogenbosch,H'bosch,knooppuntintercitystation,51.690556,5.293611
hto,8400320,'s-Hertogenbosch Oost,Hertogenbosch O,H'bosch O,stoptreinstation,51.700554,5.318333
hde,8400388,'t Harde,'t Harde,'t Harde,stoptreinstation,52.40917,5.893611
atn,8400045,Aalten,Aalten,Aalten,stoptreinstation,51.921326,6.578627
ac,8400047,Abcoude,Abcoude,Abcoude,stoptreinstation,52.2785,4.977
akm,8400049,Akkrum,Akkrum,Akkrum,stoptreinstation,53.04639,5.8436112
amr,8400050,Alkmaar,Alkmaar,Alkmaar,knooppuntintercitystation,52.63778,4.7397223
amrn,8400052,Alkmaar Noord,Alkmaar Noord,Alkmaar N,stoptreinstation,52.64389,4.764167
aml,8400051,Almelo,Almelo,Almelo,knooppuntintercitystation,52.358055,6.6538887
amri,8400520,Almelo de Riet,Almelo de Riet,de Riet,stoptreinstation,52.341946,6.6666665
almb,8400081,Almere Buiten,Almere Buiten,Buiten,intercitystation,52.394165,5.2780557
alm,8400080,Almere ,Almere C,Almere C,knooppuntintercitystation,52.37503,5.21764
almm,8400082,Almere Muziekwijk,Muziekwijk,Muziekwijk,stoptreinstation,52.3675,5.1902776
almo,8400226,Almere Oostvaarders,Oostvaarders,Oostvaard,stoptreinstation,52.40333,5.3005557
almp,8400104,Almere Parkwijk,Parkwijk,Parkwijk,stoptreinstation,52.376667,5.2447224
alms,8400083,Almere Strand,Almere Strand,Alm Strand,facultatiefstation,52.33278,5.1483335
apn,8400053,Alphen a/d Rijn,Alphen a/d Rijn,Alphen,knooppuntintercitystation,52.124443,4.657778
amf,8400055,Amersfoort,Amersfoort,Amersfoort,knooppuntintercitystation,52.15389,5.3705554
amfs,8400054,Amersfoort Schothorst,Amersfoort Schot,Schothorst,sneltreinstation,52.174824,5.4038887
avat,8400228,Amersfoort Vathorst,Amersfoort Vath,Vathorst,sneltreinstation,52.19278,5.433889
asa,8400057,Amsterdam Amstel,Amsterdam Amstel,Amstel,intercitystation,52.34667,4.917778
asdar,8499999,Amsterdam Arena,Amsterdam Arena,Arena,facultatiefstation,52.318054,4.9416666
asb,8400074,Amsterdam Bijlmer ArenA,Bijlmer ArenA,Bijlmer A,knooppuntstoptreinstation,52.31222,4.946944
asd,8400058,Amsterdam Centraal,Amsterdam C,A'dam C,megastation,52.378887,4.9002776
ashd,8400231,Amsterdam Holendrecht,Holendrecht,Holendrcht,stoptreinstation,52.2981,4.9601
asdl,8400079,Amsterdam Lelylaan,Lelylaan,Lelylaan,stoptreinstation,52.357777,4.833889
asdm,8400060,Amsterdam Muiderpoort,Muiderpoort,Muiderprt,stoptreinstation,52.360554,4.9311113
rai,8400056,Amsterdam RAI,Amsterdam RAI,A'dam RAI,stoptreinstation,52.337223,4.890278
assp,8400235,Amsterdam Science Park,Science Park,Scienceprk,stoptreinstation,52.35296,4.9485683
ass,8400059,Amsterdam Sloterdijk,Sloterdijk,Sloterdijk,knooppuntintercitystation,52.38889,4.8377776
asdz,8400061,Amsterdam Zuid,Amsterdam Zuid,A'dam Z,intercitystation,52.33889,4.8716664
ana,8400065,Anna Paulowna,Anna Paulowna,Anna Paulo,stoptreinstation,52.86722,4.811111
